(3,1992-01,3874)
(3,1992-02,10694)
(3,1992-03,19007)
(3,1992-04,25707)
(3,1992-05,30378)
(3,1992-06,29561)
(3,1992-07,30914)
(3,1992-08,30674)
(3,1992-09,29907)
(3,1992-10,30997)
(3,1992-11,29780)
(3,1992-12,31023)
(3,1993-01,31056)
(3,1993-02,27932)
(3,1993-03,30699)
(3,1993-04,30044)
(3,1993-05,30923)
(3,1993-06,29787)
(3,1993-07,30464)
(3,1993-08,30555)
(3,1993-09,29500)
(3,1993-10,30575)
(3,1993-11,29915)
(3,1993-12,30419)
(3,1994-01,30620)
(3,1994-02,27402)
(3,1994-03,30695)
(3,1994-04,29532)
(3,1994-05,30396)
(3,1994-06,29418)
(3,1994-07,30813)
(3,1994-08,31049)
(3,1994-09,29715)
(3,1994-10,30565)
(3,1994-11,29545)
(3,1994-12,30640)
(3,1995-01,29951)
(3,1995-02,27836)
(3,1995-03,30784)
(3,1995-04,29658)
(3,1995-05,30736)
(3,1995-06,29541)
(3,1995-07,30823)
(3,1995-08,30847)
(3,1995-09,29904)
(3,1995-10,30704)
(3,1995-11,29488)
(3,1995-12,30611)
(3,1996-01,30395)
(3,1996-02,28198)
(3,1996-03,30228)
(3,1996-04,29554)
(3,1996-05,30797)
(3,1996-06,29531)
(3,1996-07,30360)
(3,1996-08,30566)
(3,1996-09,29783)
(3,1996-10,30440)
(3,1996-11,29940)
(3,1996-12,30455)
(3,1997-01,30777)
(3,1997-02,27979)
(3,1997-03,31331)
(3,1997-04,30102)
(3,1997-05,30946)
(3,1997-06,29820)
(3,1997-07,30650)
(3,1997-08,30723)
(3,1997-09,29888)
(3,1997-10,30811)
(3,1997-11,30174)
(3,1997-12,30493)
(3,1998-01,30359)
(3,1998-02,27924)
(3,1998-03,30854)
(3,1998-04,29681)
(3,1998-05,30860)
(3,1998-06,29649)
(3,1998-07,30798)
(3,1998-08,27300)
(3,1998-09,18839)
(3,1998-10,11957)
(3,1998-11,4113)
(3,1998-12,16)
(24,1992-01,3781)
(24,1992-02,10574)
(24,1992-03,19103)
(24,1992-04,25892)
(24,1992-05,30562)
(24,1992-06,29847)
(24,1992-07,31018)
(24,1992-08,31008)
(24,1992-09,29831)
(24,1992-10,30836)
(24,1992-11,29966)
(24,1992-12,31009)
(24,1993-01,30977)
(24,1993-02,28082)
(24,1993-03,30987)
(24,1993-04,30107)
(24,1993-05,31143)
(24,1993-06,29904)
(24,1993-07,30930)
(24,1993-08,30941)
(24,1993-09,29872)
(24,1993-10,30807)
(24,1993-11,29871)
(24,1993-12,31084)
(24,1994-01,31209)
(24,1994-02,28124)
(24,1994-03,30604)
(24,1994-04,29626)
(24,1994-05,30790)
(24,1994-06,30135)
(24,1994-07,31162)
(24,1994-08,31257)
(24,1994-09,29813)
(24,1994-10,31172)
(24,1994-11,30039)
(24,1994-12,30706)
(24,1995-01,30803)
(24,1995-02,27839)
(24,1995-03,30923)
(24,1995-04,30139)
(24,1995-05,30868)
(24,1995-06,30014)
(24,1995-07,31080)
(24,1995-08,31226)
(24,1995-09,30164)
(24,1995-10,30710)
(24,1995-11,29746)
(24,1995-12,30830)
(24,1996-01,31297)
(24,1996-02,29079)
(24,1996-03,31036)
(24,1996-04,30014)
(24,1996-05,31080)
(24,1996-06,30121)
(24,1996-07,31589)
(24,1996-08,31498)
(24,1996-09,30205)
(24,1996-10,31168)
(24,1996-11,29856)
(24,1996-12,31038)
(24,1997-01,30686)
(24,1997-02,27846)
(24,1997-03,30695)
(24,1997-04,30117)
(24,1997-05,30869)
(24,1997-06,29865)
(24,1997-07,30854)
(24,1997-08,31214)
(24,1997-09,30367)
(24,1997-10,31125)
(24,1997-11,29729)
(24,1997-12,30882)
(24,1998-01,30986)
(24,1998-02,28040)
(24,1998-03,30813)
(24,1998-04,30145)
(24,1998-05,31196)
(24,1998-06,30336)
(24,1998-07,30744)
(24,1998-08,27826)
(24,1998-09,19196)
(24,1998-10,11975)
(24,1998-11,4223)
(24,1998-12,8)
